"cov" "maxIncr" "var"
"1" 1 0.13 0.0477976849007481
"2" 2 0.16 0.0217047802608046
"3" 3 0.19 0.0133684010728588
"4" 4 0.21 0.00909656382607799
"5" 5 0.23 0.00674848700535109
"6" 6 0.24 0.00510804537578868
"7" 7 0.26 0.00418040250458847
"8" 8 0.27 0.00340692833229566
"9" 9 0.29 0.0029389601985167
"10" 10 0.3 0.00250246701539935
"11" 11 0.31 0.00216556446389393
"12" 12 0.32 0.0018993525487032
"13" 13 0.34 0.00173205412374139
"14" 14 0.35 0.0015501863130175
"15" 15 0.36 0.00139903322700183
"16" 16 0.37 0.00127181671793077
"17" 17 0.39 0.00119215475451709
"18" 18 0.39 0.00107052261078873
"19" 19 0.41 0.00101307916135894
"20" 20 0.42 0.000940477357339883
"21" 21 0.43 0.000876625570711994
"22" 22 0.45 0.000837644337250883
"23" 23 0.46 0.000785910696024518
"24" 24 0.46 0.000724765928269694
"25" 25 0.48 0.000698014457483917
"26" 26 0.49 0.000660436050448224
"27" 27 0.49 0.000614494379944457
"28" 28 0.51 0.000595339314857988
"29" 29 0.51 0.000556656836747141
"30" 30 0.53 0.000541027754711669
"31" 31 0.56 0.00053529271820703
"32" 32 0.55 0.000495128764617758
"33" 33 0.56 0.000474771158821642
"34" 34 0.56 0.000448288630202089
"35" 35 0.59 0.00044555535787668
"36" 36 0.59 0.000422043647465147
"37" 37 0.6 0.000406808463727051
"38" 38 0.62 0.000398690856753309
"39" 39 0.62 0.000379216682920973
"40" 40 0.64 0.000372238976946734
"41" 41 0.64 0.000354915685165085
"42" 42 0.65 0.000343827277158257
"43" 43 0.67 0.000338190124784421
"44" 44 0.68 0.000328102217095253
"45" 45 0.68 0.000314150958146329
"46" 46 0.7 0.0003095307011823
"47" 47 0.71 0.000300967252711863
"48" 48 0.72 0.000292838419744712
"49" 49 0.72 0.000281376026025109
"50" 50 0.73 0.000274170460449128
"51" 51 0.74 0.000267306132017576
"52" 52 0.75 0.0002607601429793
"53" 53 0.77 0.000257717423501698
"54" 54 0.76 0.000245446988599778
"55" 55 0.8 0.000248791731646544
"56" 56 0.8 0.000240244527744468
"57" 57 0.81 0.00023491067695448
"58" 58 0.81 0.000227110310592974
"59" 59 0.83 0.000224892142485873
"60" 60 0.83 0.000217667938094216
"61" 61 0.83 0.000210786297122215
"62" 62 0.84 0.000206588310750361
"63" 63 0.86 0.000204835029120862
"64" 64 0.87 0.000200874018292172
"65" 65 0.88 0.000197057325137611
"66" 66 0.9 0.000195462943764926
"67" 67 0.91 0.000191852067688047
"68" 68 0.91 0.000186400255397164
"69" 69 0.93 0.000185001403415846
"70" 70 0.95 0.000183605652560789
"71" 71 0.96 0.000180410764595416
"72" 72 0.96 0.000175564690953709
"73" 73 0.97 0.000172621881589301
"74" 74 0.99 0.000171436685898191
"75" 75 0.97 0.000163767326145372
"76" 76 0.99 0.00016275758129716
"77" 77 1 0.000160204395842176
"78" 78 1 0.000156224963948085
"79" 79 1 0.000152391975308642
"80" 80 1 0.000148698331976461
"81" 81 1 0.000145137360865234
"82" 82 1 0.000141702783595656
"83" 83 1 0.000138388688808857
"84" 84 1 0.00013518950671924
"85" 85 1 0.000132099985702119
"86" 86 1 0.000129115170732293
"87" 87 1 0.000126230383508218
"88" 88 1 0.000123441204112836
"89" 89 1 0.000120743454076787
"90" 90 1 0.000118133180722765
"91" 91 1 0.000115606642681464
"92" 92 1 0.000113160296479977
"93" 93 1 0.00011079078411284
"94" 94 1 0.000108494921514312
"95" 95 1 0.000106269687857961
"96" 96 1 0.000104112215616399
"97" 97 1 0.000102019781320073
"98" 98 1 9.99897969594939e-05
"99" 99 1 9.8019801980198e-05
"100" 100 1 9.61074558242079e-05
