C1	STARTS	ENDS	C2	CHR	STRAND	EXONTYPE	GID	GNAME	GBIOTYPE	EXMINL	EXMAXL	MINDISTC1START	MINDISTENDC2	EXON_ID	TOTALN_EXONS
82358824+82358916+82369560+82386849+82386967+82388985	82389816	82389922	82398795+82399503+82402983+82407817+82430893	chr12	+	intr_slst_vts	ENSG00000127720	mettl25	protein_coding	107	107	830	8872	1	18
82403130	82407817	82407871	82430893	chr12	+	vts	ENSG00000127720	mettl25	protein_coding	55	55	4686	23021	2	18
82399394	82399503	82399639	82402983	chr12	+	vts	ENSG00000127720	mettl25	protein_coding	137	137	108	3343	3	18
82358824+82358916+82369560	82386803	82386849+82386967	82388802+82389816	chr12	+	sfrst_vts	ENSG00000127720	mettl25	protein_coding	47	165	17242	1834	4	18
NA	82358497+82358529+82358540	82358824	82369449+82386803	chr12	+	frst	ENSG00000127720	mettl25	protein_coding	285	328	82358496	10624	5	18
82386849+82386967	82388802	82388985	82389816	chr12	+	vts	ENSG00000127720	mettl25	protein_coding	184	184	1834	830	6	18
82476718	82477281	82477352	82478932+82478936	chr12	+	slst_vts	ENSG00000127720	mettl25	protein_coding	72	72	562	1579	7	18
82456820+82459931+82460077+82475240	82476644	82476718	82477281	chr12	+	intr_vts	ENSG00000127720	mettl25	protein_coding	75	75	1403	562	8	18
82434724	82438718	82438791	82456727	chr12	+	intr_vts	ENSG00000127720	mettl25	protein_coding	74	74	3993	17935	9	18
82403130+82407871	82430893	82430987	82434695	chr12	+	intr_vts	ENSG00000127720	mettl25	protein_coding	95	95	23021	3707	10	18
82358824+82358916+82369560+82386849+82386967+82388985+82389922+82398980+82399394+82399639+82403130+82407871+82430987	82434695	82434724	82438718+82456727	chr12	+	intr_vts	ENSG00000127720	mettl25	protein_coding	30	30	3707	3993	11	18
82358824+82358916+82369560+82386849+82386967+82388985+82389922+82398980+82399394+82399639	82402983	82403130	82407817+82430893	chr12	+	intr_vts	ENSG00000127720	mettl25	protein_coding	148	148	3343	4686	12	18
82456820	82459876	82459931+82460077	82474796+82476644	chr12	+	lst_vts	ENSG00000127720	mettl25	protein_coding	56	202	3055	14718	13	18
82438791	82456727	82456820	82459876+82474796+82476644	chr12	+	intr_slst_vts	ENSG00000127720	mettl25	protein_coding	94	94	17935	3055	14	18
82477352	82478932	82479236	NA	chr12	+	lst	ENSG00000127720	mettl25	protein_coding	305	305	1579	-82479237	15	18
82358824+82358916+82369560+82386849+82386967+82388985+82389922	82398795	82398980+82399394	82399503+82402983+82407817+82430893	chr12	+	intr_lst_vts	ENSG00000127720	mettl25	protein_coding	186	600	8872	108	16	18
82456820+82459931+82460077	82474796	82475240	82476644	chr12	+	vts	ENSG00000127720	mettl25	protein_coding	445	445	14718	1403	17	18
82358824+82358916	82369449	82369560	82386803	chr12	+	vts	ENSG00000127720	mettl25	protein_coding	112	112	10532	17242	18	18
NA	23792021+23795339+23795698	23795925	23798660+23801492+23801730	chr4	-	lst	ENSG00000109819	ppargc1a	protein_coding	228	3905	23792020	2734	27	27
23831751+23877865+23880028+23881292+23881309	23884311	23884414	23884752	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	104	104	3001	337	26	27
23831751	23877714	23877865	23879949+23880729+23881061+23884311+23884752	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	152	152	45962	2083	25	27
23795925	23798660	23798755	23801492+23801730	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	96	96	2734	2736	24	27
23831751+23877865+23880028+23881292+23881309+23884414	23884752	23884931	23888106+23889904	chr4	-	sfrst_vts	ENSG00000109819	ppargc1a	protein_coding	180	180	337	3174	23	27
23755211	23765114	23765213	23792021+23795339+23795698+23798660+23801492+23801730+23802224+23811890	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	100	100	9902	26807	22	27
23802345+23812330+23812867+23812880	23813013+23813021	23813125	23813690+23814333+23820435+23820470+23821325+23824280	chr4	-	intr_vts	ENSG00000109819	ppargc1a	protein_coding	105	113	132	564	21	27
23802345+23812330	23812747	23812867+23812880	23813013+23813021	chr4	-	intr_vts	ENSG00000109819	ppargc1a	protein_coding	121	134	416	132	20	27
23802345	23812237	23812330	23812747	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	94	94	9891	416	19	27
23824508	23825167	23825249	23828400	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	83	83	658	3150	18	27
23884931	23889904	23890032+23890035+23890077	NA	chr4	-	frst	ENSG00000109819	ppargc1a	protein_coding	129	174	4972	-23890078	17	27
23795925+23798755+23801506	23801730	23801881	23802224	chr4	-	slst_vts	ENSG00000109819	ppargc1a	protein_coding	152	152	223	342	16	27
23884861+23884931+23890032+23890035+23890077+23890213+24091635	24258203	24258267	24472375	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	65	65	166567	214107	15	27
23813125	23813690+23814333	23814605	23820435+23820470+23821325+23824280	chr4	-	intr_lst_vts	ENSG00000109819	ppargc1a	protein_coding	273	916	564	5829	14	27
23795925+23798755	23801492	23801506	23801730	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	15	15	2736	223	13	27
23884931+23890032+23890035+23890077	23890132	23890213	23899267	chr4	-	vts	ENSG00000109819	ppargc1a	protein_coding	82	82	54	9053	12	27
23814605	23820435+23820470	23820638	23821325+23824280	chr4	-	slst_vts	ENSG00000109819	ppargc1a	protein_coding	169	204	5829	686	11	27
